,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042341154688238,0.042088207310682385,0.16526491233354185,0.2875304841812497,0.3869328256074864,0.4091811793916774,0.38195385268945486,0.3042589596411233,0.2037325920017638,0.07896107041380059,0.021327596340243584,0.0,0.0014476726651251634,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035540019831260204,0.038098579336954645,0.15216706973108785,0.272162277555309,0.4014105774978081,0.45884332282734913,0.4240686829728783,0.35259216420450973,0.240028565872801,0.08547703732983787,0.01960320934986278,0.0002171508997687745,0.001254649643108475,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002678414751632813,0.05257113269276024,0.21740165716520532,0.38500908763328606,0.5263481625829045,0.5812575137567544,0.5609956467524762,0.4666192115577103,0.3125116411865918,0.11756414833970534,0.026334704276844995,0.00936161656780939,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035343259091547783,0.040662741763504935,0.16813044651313183,0.273728438398013,0.3712534368277088,0.38808918504743706,0.4150592489974858,0.3128864559618516,0.19272692242200826,0.06889517678920444,0.02344672886224487,0.0015924399316376797,0.0007962199658188399,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018108666866372146,0.03852743658093529,0.1612200557019936,0.29400523354223473,0.41633378031864854,0.44475085389486285,0.4417302591588452,0.3728051625641591,0.23994944644048838,0.08921303963959441,0.026052804478284827,0.01744445561475822,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001046619086323806,0.022861965955272175,0.12693552956264417,0.24565892867579062,0.38894343481039145,0.43418908135437745,0.4082365437911898,0.35087001112894844,0.24601962441704212,0.08958173853971074,0.0037398518219956055,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019070539013750672,0.02855347697426649,0.11280070193156345,0.20414833701980092,0.3023393586129033,0.3243225109204878,0.3001994199920393,0.24203975699301924,0.12730573742611292,0.04760837956767191,0.0017496784242741622,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.469517240952744e-05,0.022372298451009583,0.11089756614991982,0.21072801007441527,0.2924816515483256,0.30567739157590723,0.30486526077974474,0.2516773663262822,0.17716486723834843,0.0602706569787806,0.00264922756541711,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037544184039114297,0.0442946361961591,0.1614441573327472,0.29913976307822787,0.4242449930032755,0.43256493526521783,0.4134900144019871,0.3377981373595016,0.24073339416831271,0.10129124415121327,0.02748199117484758,0.012329345531315976,0.0008203478435709259,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026459365189824695,0.03362923395106369,0.1508263091863571,0.2631655101563555,0.37331726127218756,0.4079241249939544,0.41661672051651755,0.33501889702804527,0.24462055458842968,0.10421057110338706,0.02700242234356457,0.01474213330652458,0.0,0.0,0.0,0.0,0.0
